Date,Close
11/23/2018,103.07
11/21/2018,103.11
11/20/2018,101.71
11/19/2018,104.62
11/16/2018,108.29
11/15/2018,107.28
11/14/2018,104.97
11/13/2018,106.94
11/12/2018,106.87
11/9/2018,109.57
11/8/2018,111.75
11/7/2018,111.96
11/6/2018,107.72
11/5/2018,107.51
11/2/2018,106.16
11/1/2018,105.92
10/31/2018,106.81
10/30/2018,103.73
10/29/2018,103.85
10/26/2018,106.96
10/25/2018,108.3
10/24/2018,102.32
10/23/2018,108.1
10/22/2018,109.63
10/19/2018,108.66
10/18/2018,108.5
10/17/2018,110.71
10/16/2018,111
10/15/2018,107.6
10/12/2018,109.57
10/11/2018,105.91
10/10/2018,106.16
10/9/2018,112.26
10/8/2018,110.85
10/5/2018,112.13
10/4/2018,112.79
10/3/2018,115.17
10/2/2018,115.15
10/1/2018,115.61
09/28/2018,114.37
09/27/2018,114.41
09/26/2018,113.98
09/25/2018,114.45
09/24/2018,114.67
09/21/2018,114.26
09/20/2018,113.57
09/19/2018,111.7
09/18/2018,113.21
09/17/2018,112.14
09/14/2018,113.37
09/13/2018,112.91
9/12/2018,111.71
9/11/2018,111.24
9/10/2018,109.38
9/7/2018,108.21
9/6/2018,108.74
9/5/2018,108.49
9/4/2018,111.71
08/31/2018,112.33
08/30/2018,111.95
08/29/2018,112.02
08/28/2018,110.26
08/27/2018,109.6
08/24/2018,108.4
08/23/2018,107.56
08/22/2018,107.06
08/21/2018,105.98
08/20/2018,106.87
08/17/2018,107.58
08/16/2018,107.64
08/15/2018,107.66
08/14/2018,109.56
08/13/2018,108.21
8/10/2018,109
8/9/2018,109.67
8/8/2018,109.49
8/7/2018,108.88
8/6/2018,108.13
8/3/2018,108.04
8/2/2018,107.57
8/1/2018,106.28
07/31/2018,106.08
07/30/2018,105.37
07/27/2018,107.68
07/26/2018,109.62
07/25/2018,110.83
07/24/2018,107.66
07/23/2018,107.97
07/20/2018,106.27
07/19/2018,104.4
07/18/2018,105.12
07/17/2018,105.95
07/16/2018,104.91
07/13/2018,105.43
7/12/2018,104.19
7/11/2018,101.98
7/10/2018,102.12
7/9/2018,101.85
7/6/2018,101.16
7/5/2018,99.76
7/3/2018,99.05
7/2/2018,100.01
06/29/2018,98.61
06/28/2018,98.63
06/27/2018,97.54
06/26/2018,99.08
06/25/2018,98.39
06/22/2018,100.41
06/21/2018,101.14
06/20/2018,101.87
06/19/2018,100.86
06/18/2018,100.86
06/15/2018,100.13
06/14/2018,101.42
06/13/2018,100.85
6/12/2018,101.31
6/11/2018,101.05
6/8/2018,101.63
6/7/2018,100.88
6/6/2018,102.49
6/5/2018,102.19
6/4/2018,101.67
6/1/2018,100.79
05/31/2018,98.84
05/30/2018,98.95
05/29/2018,98.01
05/25/2018,98.36
05/24/2018,98.31
05/23/2018,98.66
05/22/2018,97.5
05/21/2018,97.6
05/18/2018,96.36
05/17/2018,96.18
05/16/2018,97.15
05/15/2018,97.32
05/14/2018,98.03
5/11/2018,97.7
5/10/2018,97.91
5/9/2018,96.94
5/8/2018,95.81
5/7/2018,96.22
5/4/2018,95.16
5/3/2018,94.07
5/2/2018,93.51
5/1/2018,95
04/30/2018,93.52
04/27/2018,95.82
04/26/2018,94.26
04/25/2018,92.31
04/24/2018,93.12
04/23/2018,95.35
04/20/2018,95
04/19/2018,96.11
04/18/2018,96.44
04/17/2018,96.07
04/16/2018,94.17
04/13/2018,93.08
4/12/2018,93.58
4/11/2018,91.86
4/10/2018,92.88
4/9/2018,90.77
4/6/2018,90.23
4/5/2018,92.38
4/4/2018,92.33
4/3/2018,89.71
4/2/2018,88.52
03/29/2018,91.27
03/28/2018,89.39
03/27/2018,89.47
03/26/2018,93.78
03/23/2018,87.18
03/22/2018,89.79
03/21/2018,92.48
03/20/2018,93.13
03/19/2018,92.89
03/16/2018,94.6
03/15/2018,94.18
03/14/2018,93.85
03/13/2018,94.41
3/12/2018,96.77
3/9/2018,96.54
3/8/2018,94.43
3/7/2018,93.86
3/6/2018,93.32
3/5/2018,93.64
3/2/2018,93.05
3/1/2018,92.85
02/28/2018,93.77
02/27/2018,94.2
02/26/2018,95.42
02/23/2018,94.06
02/22/2018,91.73
02/21/2018,91.49
02/20/2018,92.72
02/16/2018,92
02/15/2018,92.66
02/14/2018,90.81
02/13/2018,89.83
2/12/2018,89.13
2/9/2018,88.18
2/8/2018,85.01
2/7/2018,89.61
2/6/2018,91.33
2/5/2018,88
2/2/2018,91.78
2/1/2018,94.26
01/31/2018,95.01
01/30/2018,92.74
01/29/2018,93.92
01/26/2018,94.06
01/25/2018,92.33
01/24/2018,91.82
01/23/2018,91.9
01/22/2018,91.61
01/19/2018,90
01/18/2018,90.1
01/17/2018,90.14
01/16/2018,88.35
1/12/2018,89.6
1/11/2018,88.08
1/10/2018,87.82
1/9/2018,88.22
1/8/2018,88.28
1/5/2018,88.19
1/4/2018,87.11
1/3/2018,86.35
1/2/2018,85.95
12/29/2017,85.54
12/28/2017,85.72
12/27/2017,85.71
12/26/2017,85.4
12/22/2017,85.51
12/21/2017,85.5
12/20/2017,85.52
12/19/2017,85.83
12/18/2017,86.38
12/15/2017,86.85
12/14/2017,84.69
12/13/2017,85.35
12/12/2017,85.58
12/11/2017,85.23
12/8/2017,84.16
12/7/2017,82.49
12/6/2017,82.78
12/5/2017,81.59
12/4/2017,81.08
12/1/2017,84.26
11/30/2017,84.17
11/29/2017,83.34
11/28/2017,84.88
11/27/2017,83.87
11/24/2017,83.26
11/22/2017,83.11
11/21/2017,83.72
11/20/2017,82.53
11/17/2017,82.4
11/16/2017,83.2
11/15/2017,82.98
11/14/2017,84.05
11/13/2017,83.93
11/10/2017,83.87
11/9/2017,84.09
11/8/2017,84.56
11/7/2017,84.27
11/6/2017,84.47
11/3/2017,84.14
11/2/2017,84.05
11/1/2017,83.18
10/31/2017,83.18
10/30/2017,83.89
10/27/2017,83.81
10/26/2017,78.76
10/25/2017,78.63
10/24/2017,78.86
10/23/2017,78.83
10/20/2017,78.81
10/19/2017,77.91
10/18/2017,77.61
10/17/2017,77.59
10/16/2017,77.65
10/13/2017,77.49
10/12/2017,77.12
10/11/2017,76.42
10/10/2017,76.29
10/9/2017,76.29
10/6/2017,76
10/5/2017,75.97
10/4/2017,74.69
10/3/2017,74.26
10/2/2017,74.61
09/29/2017,74.49
09/28/2017,73.87
09/27/2017,73.85
09/26/2017,73.26
09/25/2017,73.26
09/22/2017,74.41
09/21/2017,74.21
09/20/2017,74.94
09/19/2017,75.44
09/18/2017,75.16
09/15/2017,75.31
09/14/2017,74.77
09/13/2017,75.21
9/12/2017,74.68
9/11/2017,74.76
